PlayerName,Team,BirthDate,BirthCity,College,Height,Weight,PhotoUrl,Position,JerseyNo,ExperienceYear
Tyrone Wallace,LAC,6/10/1994,Bakersfield,California,77,198,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001718.png,SG,9,1
Abdel Nader,OKC,9/25/1993,Alexandria,Iowa State,78,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001721.png,SF,11,1
Furkan Korkmaz,PHI,7/24/1997,Bakirkoy,No College,79,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001722.png,SG,30,1
Daniel Hamilton,ATL,8/8/1995,Los Angeles,Connecticut,79,195,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001725.png,SG,5,1
Gary Payton II,WAS,12/1/1992,No record,Oregon State,75,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001730.png,PG,4,2
Yogi Ferrell,SAC,5/9/1993,Greenfield,Indiana,72,180,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001732.png,PG,3,2
Fred VanVleet,TOR,2/25/1994,Rockford,Wichita State,72,195,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001733.png,PG,23,2
Bogdan Bogdanovic,SAC,8/18/1992,No record,No College,78,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001745.png,SG,8,1
Ryan Arcidiacono,CHI,3/26/1994,Philadelphia,Villanova,75,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001746.png,PG,51,1
Danuel House Jr.,HOU,6/7/1993,Sugar Land,No College,79,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001747.png,PF,4,2
Tomas Satoransky,WAS,10/30/1991,Prague,No College,79,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001749.png,PG,31,2
Dorian Finney-Smith,DAL,5/4/1993,Portsmouth,Florida,80,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001757.png,SF,10,2
Bryn Forbes,SAS,7/23/1993,Lansing,Michigan State,75,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001760.png,SG,11,2
Wayne Selden Jr.,CHI,9/30/1994,Boston,Kansas,77,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001762.png,SG,14,2
Alex Abrines,OKC,8/1/1993,Mallorca,No College,78,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001763.png,SG,8,2
Troy Williams,SAC,12/30/1994,Hampton,Indiana,79,218,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001768.png,SF,19,2
Chasson Randle,WAS,2/5/1993,No record,Stanford,74,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001775.png,PG,9,1
Alex Poythress,ATL,9/6/1993,No record,Kentucky,81,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001779.png,SF,22,2
Damion Lee,GSW,10/21/1992,Baltimore,Louisville,78,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001791.png,SG,1,1
Shaquille Harrison,CHI,10/6/1993,No record,Tulsa,76,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001795.png,PG,3,1
Derrick Jones Jr.,MIA,2/15/1997,No record,UNLV,79,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001796.png,SF,5,2
C.J. Williams,MIN,2/6/1990,No record,North Carolina State,77,226,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001799.png,SG,12,1
Alex Caruso,LAL,2/28/1994,No record,Texas A&amp;M,77,186,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001801.png,SG,4,1
David Nwaba,CLE,1/14/1993,No record,Cal Poly,76,219,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001820.png,SG,12,2
Hamidou Diallo,OKC,7/31/1998,No record,Kentucky,77,198,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001822.png,SG,6,0
Lonzo Ball,LAL,10/27/1997,No record,UCLA,78,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001823.png,PG,2,1
De'Aaron Fox,SAC,12/20/1997,No record,Kentucky,75,175,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001824.png,PG,5,1
Markelle Fultz,PHI,5/29/1998,No record,Washington,76,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001825.png,PG,20,1
Dennis Smith Jr.,DAL,11/25/1997,No record,North Carolina State,75,195,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001826.png,PG,1,1
Harry Giles,SAC,4/22/1998,No record,Duke,82,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001827.png,PF,20,0
Josh Jackson,PHO,2/10/1997,No record,Kansas,80,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001828.png,SF,20,1
Jayson Tatum,BOS,3/3/1998,No record,Duke,80,208,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001829.png,SF,0,1
Jonathan Isaac,ORL,10/3/1997,No record,Florida State,82,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001830.png,PF,1,1
Lauri Markkanen,CHI,5/22/1997,No record,Arizona,84,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001831.png,PF,24,1
Frank Ntilikina,NYK,7/28/1998,No record,No College,78,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001832.png,PG,11,1
Malik Monk,CHA,2/4/1998,No record,Kentucky,75,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001833.png,SG,1,1
Zach Collins,POR,11/19/1997,No record,Gonzaga,84,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001834.png,C,33,1
John Collins,ATL,9/23/1997,No record,Wake Forest,82,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001835.png,PF,20,1
Bam Adebayo,MIA,7/18/1997,No record,Kentucky,82,255,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001836.png,C,13,1
Jarrett Allen,BKN,4/21/1998,No record,Texas,83,237,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001837.png,C,31,1
OG Anunoby,TOR,7/17/1997,No record,Indiana,80,232,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001838.png,SF,3,1
TJ Leaf,IND,4/30/1997,No record,UCLA,82,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001839.png,PF,22,1
Luke Kennard,DET,6/24/1996,No record,Duke,77,206,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001840.png,SG,5,1
D.J. Wilson,MIL,2/19/1996,No record,Michigan,82,231,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001841.png,PF,5,1
Justin Patton,PHI,6/14/1997,No record,Creighton,84,241,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001842.png,C,0,1
Terrance Ferguson,OKC,5/17/1998,No record,No College,79,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001843.png,SG,23,1
Donovan Mitchell,UTA,9/7/1996,No record,Louisville,75,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001844.png,SG,45,1
Justin Jackson,SAC,3/28/1995,No record,North Carolina,80,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001845.png,SF,25,1
Jordan Bell,GSW,1/7/1995,No record,Oregon,81,224,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001846.png,PF,2,1
Frank Jackson,NOP,5/4/1998,No record,Duke,75,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001847.png,PG,15,0
Wes Iwundu,ORL,12/20/1994,No record,Kansas State,79,195,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001848.png,SF,25,1
Jonah Bolden,PHI,1/2/1996,No record,UCLA,82,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001849.png,PF,43,0
Jawun Evans,PHO,7/26/1996,No record,Oklahoma State,72,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001850.png,PG,0,1
Thomas Bryant,WAS,7/31/1997,No record,Indiana,83,248,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001852.png,C,13,1
Josh Hart,LAL,3/6/1995,No record,Villanova,77,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001853.png,SG,3,1
Caleb Swanigan,POR,4/18/1997,No record,Purdue,81,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001854.png,PF,50,1
Tyler Lydon,DEN,4/9/1996,No record,Syracuse,82,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001855.png,PF,20,1
Derrick White,SAS,7/2/1994,No record,Colorado,76,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001856.png,PG,4,1
Tony Bradley,UTA,1/8/1998,No record,North Carolina,82,248,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001857.png,C,13,1
Kyle Kuzma,LAL,7/24/1995,No record,Utah,81,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001858.png,PF,0,1
Davon Reed,IND,6/11/1995,No record,Miami (FL),77,208,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001859.png,SG,32,1
Frank Mason III,SAC,4/3/1994,No record,Kansas,71,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001860.png,PG,10,1
Dwayne Bacon,CHA,8/30/1995,No record,Florida State,79,221,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001861.png,SF,7,1
Tyler Dorsey,ATL,2/18/1996,No record,Oregon,77,183,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001862.png,SG,2,1
Damyean Dotson,NYK,5/6/1994,No record,Houston,78,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001863.png,SG,21,1
Sterling Brown,MIL,2/10/1995,No record,SMU,78,232,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001864.png,SG,23,1
Kadeem Allen,NYK,1/15/1993,No record,Arizona,75,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001866.png,SG,0,1
Semi Ojeleye,BOS,12/5/1994,No record,SMU,79,241,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001867.png,PF,37,1
Ike Anigbogu,IND,10/22/1998,No record,UCLA,82,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001868.png,C,13,1
Sindarius Thornwell,LAC,11/15/1994,No record,South Carolina,77,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001869.png,SG,0,1
Monte Morris,DEN,6/27/1995,No record,Iowa State,75,175,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001871.png,PG,11,1
Ivan Rabb,MEM,2/4/1997,No record,California,82,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001872.png,PF,10,1
Dillon Brooks,MEM,1/22/1996,No record,Oregon,78,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001873.png,SF,24,1
Isaiah Hartenstein,HOU,5/5/1998,No record,No College,84,249,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001874.png,PF,55,0
Edmond Sumner,IND,12/31/1995,No record,Xavier,78,176,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001875.png,PG,5,1
Jabari Bird,BOS,7/3/1994,No record,California,78,198,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001879.png,SG,26,1
Jaron Blossomgame,CLE,9/16/1993,No record,Clemson,80,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001881.png,SF,4,0
PJ Dozier,BOS,10/25/1996,No record,South Carolina,78,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001885.png,PG,35,1
Chris Boucher,TOR,1/11/1993,No record,Oregon,82,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001886.png,PF,25,1
Luke Kornet,NYK,7/15/1995,No record,Vanderbilt,85,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001889.png,PF,2,1
Kobi Simmons,CLE,7/4/1997,No record,Arizona,76,170,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001890.png,PG,24,1
Johnathan Motley,LAC,5/4/1995,No record,Baylor,82,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001898.png,PF,15,1
Daniel Theis,BOS,4/4/1992,No record,No College,80,243,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001901.png,PF,27,1
Milos Teodosic,LAC,3/19/1987,No record,No College,77,196,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001902.png,PG,4,1
Alfonzo McKinnie,GSW,9/17/1992,No record,Green Bay,80,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001907.png,SF,28,1
Maxi Kleber,DAL,1/29/1992,No record,No College,83,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001909.png,PF,42,1
Devin Robinson,WAS,3/7/1995,No record,Florida,80,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001910.png,SF,7,1
Antonio Blakeney,CHI,10/4/1996,No record,LSU,76,192,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001911.png,SG,9,1
Torrey Craig,DEN,12/19/1990,No record,USC Upstate,79,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001912.png,SG,3,1
Royce O'Neale,UTA,6/5/1993,No record,Baylor,78,226,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001913.png,SF,23,1
Tyler Cavanaugh,UTA,2/9/1994,No record,George Washington,81,238,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001923.png,PF,34,1
Isaiah Hicks,NYK,7/24/1994,No record,North Carolina,81,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001926.png,PF,4,1
Ben Moore,SAS,5/13/1995,No record,SMU,80,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001930.png,PF,26,1
Troy Caupain,ORL,11/29/1995,No record,Cincinnati,76,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001934.png,PG,3,0
Amile Jefferson,ORL,5/7/1993,No record,Duke,81,222,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001941.png,PF,11,0
Isaiah Briscoe,ORL,4/13/1996,No record,Kentucky,75,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001945.png,PG,13,0
Nazareth Mitrou-Long,UTA,8/3/1993,No record,Iowa State,76,218,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001946.png,SG,30,1
Jaylen Morris,MIL,9/19/1995,No record,No College,77,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001978.png,PG,30,1
Luka Doncic,DAL,2/28/1999,No record,No College,79,218,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001984.png,PG,77,0
Mohamed Bamba,ORL,5/12/1998,No record,Texas,84,221,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001985.png,C,5,0
Grayson Allen,UTA,10/8/1995,No record,Duke,77,198,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001986.png,SG,24,0
Donte DiVincenzo,MIL,1/31/1997,No record,Villanova,76,203,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001987.png,SG,9,0
Michael Porter Jr.,DEN,6/29/1998,No record,Missouri,82,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001988.png,PF,1,0
Trae Young,ATL,9/19/1998,No record,Oklahoma,74,180,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001989.png,PG,11,0
Deandre Ayton,PHO,7/23/1998,No record,Arizona,85,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001990.png,C,22,0
Jaren Jackson Jr.,MEM,9/15/1999,No record,Michigan State,83,242,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001991.png,PF,13,0
Kevin Huerter,ATL,8/27/1998,No record,Maryland,79,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001993.png,SG,3,0
Kevin Knox,NYK,8/11/1999,No record,Kentucky,81,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001994.png,SF,20,0
Marvin Bagley III,SAC,3/14/1999,No record,Duke,83,234,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001995.png,PF,35,0
Wendell Carter Jr.,CHI,4/16/1999,No record,Duke,82,255,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001996.png,PF,34,0
Collin Sexton,CLE,1/4/1999,No record,Alabama,74,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001997.png,PG,2,0
Mikal Bridges,PHO,8/30/1996,No record,Villanova,79,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001998.png,SF,25,0
Shai Gilgeous-Alexander,LAC,7/12/1998,No record,Kentucky,78,181,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001999.png,PG,2,0
Jerome Robinson,LAC,2/22/1997,No record,Boston College,77,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002000.png,SG,10,0
Zhaire Smith,PHI,6/9/1999,No record,Texas Tech,76,199,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002001.png,SG,8,0
Troy Brown,WAS,7/28/1999,No record,Oregon,79,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002002.png,SF,6,0
Miles Bridges,CHA,3/21/1998,No record,Michigan State,79,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002003.png,SF,0,0
Chandler Hutchison,CHI,4/26/1996,No record,Boise State,79,197,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002004.png,SF,15,0
Aaron Holiday,IND,9/30/1996,No record,UCLA,73,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002005.png,PG,3,0
Josh Okogie,MIN,9/1/1998,No record,Georgia Tech,76,212,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002006.png,SG,20,0
Anfernee Simons,POR,6/8/1999,No record,No College,76,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002007.png,SG,24,0
Lonnie Walker IV,SAS,12/14/1998,No record,Miami (FL),77,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002008.png,SG,1,0
Devonte' Graham,CHA,2/22/1995,No record,Kansas,74,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002010.png,PG,4,0
Omari Spellman,ATL,7/21/1997,No record,Villanova,81,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002012.png,PF,6,0
Melvin Frazier,ORL,8/30/1996,No record,Tulane,78,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002013.png,SF,35,0
Jarred Vanderbilt,DEN,4/3/1999,No record,Kentucky,81,214,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002015.png,PF,8,0
Mitchell Robinson,NYK,4/1/1998,No record,Western Kentucky,85,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002016.png,C,26,0
Kostas Antetokounmpo,DAL,11/20/1997,No record,Dayton,82,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002017.png,PF,37,0
Isaac Bonga,LAL,11/8/1999,No record,No College,80,180,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002018.png,PG,17,0
Landry Shamet,PHI,3/13/1997,No record,Wichita State,77,188,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002019.png,PG,1,0
Ray Spalding,DAL,3/11/1997,No record,Louisville,82,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002020.png,PF,26,0
Khyri Thomas,DET,5/8/1996,No record,Creighton,75,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002021.png,SG,13,0
Rodions Kurucs,BKN,2/5/1998,No record,No College,81,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002022.png,SF,0,0
Dzanan Musa,BKN,5/8/1999,No record,No College,81,208,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002023.png,SG,30,0
Robert Williams,BOS,10/17/1997,No record,Texas A&amp;M,82,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002024.png,PF,44,0
Vincent Edwards,HOU,4/5/1996,No record,Purdue,80,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002025.png,SF,12,0
Gary Trent Jr.,POR,1/18/1999,No record,Duke,78,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002027.png,SG,9,0
Jevon Carter,MEM,9/14/1995,No record,West Virginia,74,196,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002028.png,PG,3,0
De'Anthony Melton,PHO,5/28/1998,No record,USC,76,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002029.png,PG,14,0
Chimezie Metu,SAS,3/22/1997,No record,USC,82,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002031.png,PF,7,0
Jalen Brunson,DAL,8/31/1996,No record,Villanova,75,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002032.png,PG,13,0
Shake Milton,PHI,9/26/1996,No record,SMU,78,207,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002033.png,SG,18,0
Jacob Evans III,GSW,6/18/1997,No record,Cincinnati,78,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002034.png,SG,10,0
Svi Mykhailiuk,LAL,6/10/1997,No record,Kansas,80,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002035.png,SF,10,0
Moritz Wagner,LAL,4/26/1997,No record,Michigan,83,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002036.png,PF,15,0
George King,PHO,1/15/1994,No record,Colorado,78,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002037.png,SF,8,0
Elie Okobo,PHO,10/23/1997,No record,No College,75,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002038.png,PG,2,0
Alize Johnson,IND,4/22/1996,No record,Missouri State,81,212,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002039.png,PF,24,0
Bruce Brown Jr.,DET,8/15/1996,No record,Miami (FL),77,202,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002040.png,SG,6,0
Keita Bates-Diop,MIN,1/23/1996,No record,Ohio State,81,229,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002041.png,SF,31,0
Thomas Welsh,DEN,2/3/1996,No record,UCLA,84,255,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002043.png,C,45,0
Allonzo Trier,NYK,1/17/1996,No record,Arizona,77,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002044.png,PG,14,0
Drew Eubanks,SAS,2/1/1997,No record,Oregon State,82,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002045.png,C,14,0
Angel Delgado,LAC,11/20/1994,No record,Seton Hall,82,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002047.png,C,31,0
Deng Adel,CLE,2/1/1997,No record,Louisville,79,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,PF,32,0
Marcus Derrickson,GSW,2/1/1996,No record,Georgetown,79,249,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002051.png,PF,32,0
Trevon Duval,MIL,8/3/1998,No record,Duke,74,189,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,PG,0,0
Brandon Sampson,CHI,5/1/1997,No record,LSU,77,184,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,PG,44,0
Kenrich Williams,NOP,12/2/1994,No record,TCU,79,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,PF,34,0
Duncan Robinson,MIA,4/22/1994,No record,Michigan,80,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002057.png,PG,55,0
Yuta Watanabe,MEM,10/13/1994,No record,George Washington,81,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002058.png,PG,12,0
Jaylen Adams,ATL,5/4/1996,No record,St. Bonaventure,74,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002068.png,PG,10,0
Johnathan Williams,LAL,5/22/1995,No record,Gonzaga,81,228,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,PF,19,0
